Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long,XYZ
1500576348480,heather,PebbleTimeSteel,-973,126,237,30.618904,-96.3394279,X
1500576348520,heather,PebbleTimeSteel,-222,222,-1172,30.618904,-96.3394279,Y
1500576348560,heather,PebbleTimeSteel,-671,316,-533,30.618904,-96.3394279,Y
1500576348600,heather,PebbleTimeSteel,-830,99,-510,30.618904,-96.3394279,Z
1500576348640,heather,PebbleTimeSteel,-229,155,-281,30.618904,-96.3394279,Z
1500576348680,heather,PebbleTimeSteel,-304,286,-1071,30.618904,-96.3394279,Z
1500576348720,heather,PebbleTimeSteel,-703,323,-946,30.618904,-96.3394279,Y
1500576348760,heather,PebbleTimeSteel,14,-41,-317,30.618904,-96.3394279,X
1500576348800,heather,PebbleTimeSteel,-785,-204,-1574,30.618904,-96.3394279,X
1500576348840,heather,PebbleTimeSteel,-667,-145,133,30.618904,-96.3394279,Y
1500576348880,heather,PebbleTimeSteel,-508,-145,-624,30.618904,-96.3394279,Z
1500576348920,heather,PebbleTimeSteel,-635,26,-879,30.618904,-96.3394279,Y
1500576348960,heather,PebbleTimeSteel,-571,-121,-962,30.618904,-96.3394279,Z
1500576349000,heather,PebbleTimeSteel,-588,62,-452,30.618904,-96.3394279,Z
1500576349040,heather,PebbleTimeSteel,-414,138,-1259,30.618904,-96.3394279,Z
1500576349080,heather,PebbleTimeSteel,-690,247,-52,30.618904,-96.3394279,Y
1500576349120,heather,PebbleTimeSteel,-653,72,-363,30.618904,-96.3394279,Y
1500576349160,heather,PebbleTimeSteel,-609,68,-842,30.618904,-96.3394279,X
1500576349200,heather,PebbleTimeSteel,-400,49,-809,30.618904,-96.3394279,Z
1500576349240,heather,PebbleTimeSteel,-597,-14,-544,30.618904,-96.3394279,X
1500576349280,heather,PebbleTimeSteel,-328,210,-1239,30.618904,-96.3394279,X
1500576349320,heather,PebbleTimeSteel,-348,109,-1067,30.618904,-96.3394279,X
1500576349360,heather,PebbleTimeSteel,-504,33,-897,30.618904,-96.3394279,Y
1500576349400,heather,PebbleTimeSteel,-628,-82,-1016,30.618904,-96.3394279,Y
1500576349440,heather,PebbleTimeSteel,-650,129,-918,30.618904,-96.3394279,X
1500576349480,heather,PebbleTimeSteel,-379,9,-905,30.618904,-96.3394279,X
1500576349520,heather,PebbleTimeSteel,-564,-12,-1528,30.618904,-96.3394279,X
1500576349560,heather,PebbleTimeSteel,-532,180,-110,30.618904,-96.3394279,Y
1500576349600,heather,PebbleTimeSteel,-712,170,-221,30.618904,-96.3394279,Z
1500576349640,heather,PebbleTimeSteel,-413,142,-693,30.618904,-96.3394279,X
1500576349680,heather,PebbleTimeSteel,-492,270,-1136,30.618904,-96.3394279,Y
1500576349720,heather,PebbleTimeSteel,-655,97,-796,30.618904,-96.3394279,Z
1500576349760,heather,PebbleTimeSteel,-249,248,-439,30.618904,-96.3394279,Y
1500576349800,heather,PebbleTimeSteel,-716,348,-1179,30.618904,-96.3394279,X
1500576349840,heather,PebbleTimeSteel,-725,169,-983,30.618904,-96.3394279,Y
1500576349880,heather,PebbleTimeSteel,-395,185,-1224,30.618904,-96.3394279,X
1500576349920,heather,PebbleTimeSteel,-549,-258,175,30.618904,-96.3394279,X
1500576349960,heather,PebbleTimeSteel,-347,169,-1619,30.618904,-96.3394279,Y
1500576350000,heather,PebbleTimeSteel,-898,61,-579,30.618904,-96.3394279,Y
1500576350040,heather,PebbleTimeSteel,-661,-13,-765,30.618904,-96.3394279,X
1500576350080,heather,PebbleTimeSteel,-604,46,-915,30.618904,-96.3394279,Y
1500576350120,heather,PebbleTimeSteel,-872,201,-924,30.618904,-96.3394279,X
1500576350160,heather,PebbleTimeSteel,-629,62,-383,30.618904,-96.3394279,Y
1500576350200,heather,PebbleTimeSteel,-504,-32,-826,30.618904,-96.3394279,Y
1500576350240,heather,PebbleTimeSteel,-179,171,-924,30.6189436,-96.3395957,Z
1500576350280,heather,PebbleTimeSteel,-684,146,-998,30.6189436,-96.3395957,Y
1500576350320,heather,PebbleTimeSteel,-345,85,-1295,30.6189436,-96.3395957,Z
1500576350360,heather,PebbleTimeSteel,-401,77,-534,30.6189436,-96.3395957,Z
1500576350400,heather,PebbleTimeSteel,-431,145,-1420,30.6189436,-96.3395957,Y
1500576350440,heather,PebbleTimeSteel,-434,43,-979,30.6189436,-96.3395957,Z
1500576350480,heather,PebbleTimeSteel,-402,174,-1651,30.6189436,-96.3395957,Y
1500576350520,heather,PebbleTimeSteel,-259,77,-783,30.6189436,-96.3395957,Z
1500576350560,heather,PebbleTimeSteel,-522,67,-1037,30.6189436,-96.3395957,Z
1500576350600,heather,PebbleTimeSteel,-512,48,-519,30.6189436,-96.3395957,Y
1500576350640,heather,PebbleTimeSteel,-680,49,-837,30.6189436,-96.3395957,Y
1500576350680,heather,PebbleTimeSteel,-519,249,-217,30.6189436,-96.3395957,Z
1500576350720,heather,PebbleTimeSteel,-662,108,-96,30.6189436,-96.3395957,Z
1500576350760,heather,PebbleTimeSteel,-415,171,-937,30.6189436,-96.3395957,X
1500576350800,heather,PebbleTimeSteel,-827,253,-746,30.6189436,-96.3395957,Y
1500576350840,heather,PebbleTimeSteel,-364,144,-628,30.6189436,-96.3395957,Z
1500576350880,heather,PebbleTimeSteel,-643,139,-755,30.6189436,-96.3395957,Y
1500576350920,heather,PebbleTimeSteel,-1032,-44,245,30.6189436,-96.3395957,Z
1500576350960,heather,PebbleTimeSteel,-454,73,-1268,30.6189436,-96.3395957,Y
1500576351000,heather,PebbleTimeSteel,-618,73,-1150,30.6189436,-96.3395957,X
1500576351040,heather,PebbleTimeSteel,-499,91,-235,30.6189436,-96.3395957,X
1500576351080,heather,PebbleTimeSteel,-1040,-7,-581,30.6189436,-96.3395957,X
1500576351120,heather,PebbleTimeSteel,-588,-36,-590,30.6189436,-96.3395957,Z
1500576351160,heather,PebbleTimeSteel,-304,344,-1498,30.6189436,-96.3395957,X
1500576351200,heather,PebbleTimeSteel,-355,243,-140,30.6189436,-96.3395957,Z
1500576351240,heather,PebbleTimeSteel,-821,-174,-846,30.6189436,-96.3395957,Y
1500576351280,heather,PebbleTimeSteel,-652,229,53,30.6189436,-96.3395957,X
1500576351320,heather,PebbleTimeSteel,-477,228,-930,30.6189436,-96.3395957,Y
1500576351360,heather,PebbleTimeSteel,-516,174,-250,30.6189436,-96.3395957,Z
1500576351400,heather,PebbleTimeSteel,-559,222,-1417,30.6189436,-96.3395957,X
1500576351440,heather,PebbleTimeSteel,-270,121,-874,30.6189436,-96.3395957,Z
1500576351480,heather,PebbleTimeSteel,-831,-105,-290,30.6189436,-96.3395957,Y
1500576351520,heather,PebbleTimeSteel,-440,143,-709,30.6189436,-96.3395957,Y
1500576351560,heather,PebbleTimeSteel,-593,39,-416,30.6189436,-96.3395957,X
1500576351600,heather,PebbleTimeSteel,-485,69,-1359,30.6189436,-96.3395957,Z
1500576351640,heather,PebbleTimeSteel,-452,75,-153,30.6189436,-96.3395957,Y
1500576351680,heather,PebbleTimeSteel,-523,353,-1648,30.6189436,-96.3395957,X
1500576351720,heather,PebbleTimeSteel,-868,-20,-589,30.6189436,-96.3395957,X
1500576351760,heather,PebbleTimeSteel,-619,-21,-1263,30.6189436,-96.3395957,X
1500576351800,heather,PebbleTimeSteel,-1078,104,221,30.6189436,-96.3395957,Y
1500576351840,heather,PebbleTimeSteel,-1088,-14,-975,30.6189436,-96.3395957,Z
1500576351880,heather,PebbleTimeSteel,-740,-148,-319,30.6189436,-96.3395957,Y
1500576351920,heather,PebbleTimeSteel,-593,85,-1769,30.6189436,-96.3395957,Z
1500576351960,heather,PebbleTimeSteel,-520,61,-780,30.6189436,-96.3395957,X
1500576352000,heather,PebbleTimeSteel,-1021,224,-318,30.6189436,-96.3395957,X
1500576352040,heather,PebbleTimeSteel,-362,114,-882,30.6189436,-96.3395957,Z
1500576352080,heather,PebbleTimeSteel,-372,122,-203,30.6189436,-96.3395957,Z
1500576352120,heather,PebbleTimeSteel,-647,85,-74,30.6189436,-96.3395957,X
1500576352160,heather,PebbleTimeSteel,-418,102,-528,30.6189436,-96.3395957,Y
1500576352200,heather,PebbleTimeSteel,-635,253,-1241,30.6189436,-96.3395957,Z
1500576352240,heather,PebbleTimeSteel,-468,356,-1518,30.6189436,-96.3395957,X
1500576352280,heather,PebbleTimeSteel,-1155,-74,-185,30.6189436,-96.3395957,Z
1500576352320,heather,PebbleTimeSteel,-1106,-71,-335,30.6189436,-96.3395957,X
1500576352360,heather,PebbleTimeSteel,-655,-142,-749,30.6189436,-96.3395957,Z
1500576352400,heather,PebbleTimeSteel,-586,217,-941,30.6189436,-96.3395957,Y
1500576352440,heather,PebbleTimeSteel,-801,2,-793,30.6189436,-96.3395957,Y
1500576352480,heather,PebbleTimeSteel,-534,125,-464,30.6189436,-96.3395957,Y
1500576352520,heather,PebbleTimeSteel,-661,-103,-779,30.6189436,-96.3395957,Y
1500576352560,heather,PebbleTimeSteel,-665,58,120,30.6189436,-96.3395957,Z
1500576352600,heather,PebbleTimeSteel,-304,-23,-493,30.6189436,-96.3395957,Z
1500576352640,heather,PebbleTimeSteel,-612,-18,-835,30.6189436,-96.3395957,Y
1500576352680,heather,PebbleTimeSteel,-504,154,-793,30.6189436,-96.3395957,Y
1500576352720,heather,PebbleTimeSteel,4,171,-842,30.6189436,-96.3395957,X
1500576352760,heather,PebbleTimeSteel,-627,0,-843,30.6189436,-96.3395957,Y
1500576352800,heather,PebbleTimeSteel,-703,85,-414,30.6189436,-96.3395957,Y
1500576352840,heather,PebbleTimeSteel,-450,39,-995,30.6189436,-96.3395957,Y
1500576352880,heather,PebbleTimeSteel,-799,176,-1382,30.6189436,-96.3395957,Z
1500576352920,heather,PebbleTimeSteel,-389,245,-599,30.6189436,-96.3395957,X
1500576352960,heather,PebbleTimeSteel,-758,194,-496,30.6189436,-96.3395957,Z
1500576353000,heather,PebbleTimeSteel,-96,263,-1040,30.6189436,-96.3395957,Y
1500576353040,heather,PebbleTimeSteel,-718,-40,-313,30.6189436,-96.3395957,Z
1500576353080,heather,PebbleTimeSteel,-429,171,-295,30.6189436,-96.3395957,X
